Post_ID,Post_Type,Date,Likes,Shares,Comments,Views,Engagement_Score,User_ID,Platform,Tags
P00080,Video,2023-10-24,3661,672,1456,74954,2102.8,U00515,Twitter,"#cosplay,#announcement"
P00081,Text,2023-12-10,2123,227,1915,5437,1491.8,U00027,Instagram,"#update,#stream"
P00082,Image,2024-03-07,4155,383,2572,13717,2548.5,U00958,Facebook,"#guide,#event"
P00083,Video,2023-12-07,755,2000,2482,81754,1646.6,U00053,Twitter,"#fanart,#announcement,#cosplay"
P00084,Video,2023-12-08,1175,1035,1924,36748,1357.7,U00429,Twitter,"#fanart,#event"
P00085,Video,2023-02-25,4338,1320,524,83890,2288.4,U00023,YouTube,"#update,#stream,#fanart"
P00086,Video,2023-12-24,4505,1372,2281,29845,2897.9,U00548,Facebook,"#event,#cosplay"
P00087,Text,2023-03-03,3644,575,1220,87480,1996.1,U00733,YouTube,"#fanart,#event"
P00088,Image,2024-04-29,3576,313,2917,22612,2399.4,U00559,Facebook,"#guide,#event,#cosplay"
P00089,Video,2023-01-10,4842,355,1956,66277,2630.1,U00866,Instagram,"#update,#guide"
P00090,Image,2023-01-14,4102,1168,223,73933,2058.1,U00906,YouTube,"#guide,#cosplay"
P00091,Image,2023-01-05,2815,1972,2247,33380,2391.7,U00029,Facebook,"#update,#cosplay,#stream"
P00092,Text,2024-05-14,568,712,2734,1359,1261.0,U00202,Instagram,"#guide,#update,#stream"
P00093,Image,2023-01-10,3075,178,717,60878,1498.5,U00533,YouTube,"#guide,#event"
P00094,Text,2023-04-28,4085,323,2358,21236,2438.3,U00639,Instagram,"#announcement,#stream,#guide"
P00095,Text,2024-03-13,777,698,781,91104,754.5,U00435,Facebook,"#event,#announcement,#cosplay"
P00096,Text,2024-01-31,4662,1397,345,12442,2387.4,U00953,YouTube,"#fanart,#cosplay"
P00097,Image,2023-09-12,392,431,910,61908,559.1,U00811,Instagram,#update
P00098,Text,2023-08-25,3210,1952,192,41194,1927.2,U00967,YouTube,"#fanart,#event"
P00099,Text,2023-04-08,1906,1652,1955,65270,1844.5,U00202,YouTube,#guide
P00100,Video,2023-12-21,3711,744,2107,39001,2339.7,U00126,YouTube,"#event,#guide"
P00101,Text,2024-04-08,189,23,26,22605,90.3,U00812,Instagram,"#cosplay,#stream"
P00102,Video,2023-10-10,2368,960,1010,13434,1538.2,U00451,Instagram,"#fanart,#announcement"
P00103,Text,2023-05-31,2659,39,1407,11314,1497.4,U00523,YouTube,#guide
P00104,Image,2024-02-28,4604,133,1677,7316,2384.6,U00086,Twitter,"#event,#fanart,#update"
P00105,Image,2023-12-12,821,94,1512,17428,810.2,U00557,YouTube,"#event,#announcement"
P00106,Image,2023-01-26,1142,187,1327,22566,911.0,U00437,Twitter,"#event,#announcement,#fanart"
P00107,Text,2023-11-19,2858,292,2987,73515,2126.9,U00451,Twitter,#announcement
P00108,Video,2023-10-08,1109,750,442,99145,801.2,U00040,Instagram,"#stream,#event,#fanart"
P00109,Text,2023-09-02,1122,1087,2598,70931,1554.3,U00998,Instagram,"#announcement,#fanart,#stream"
P00110,Text,2023-02-05,635,674,820,52347,702.2,U00873,YouTube,"#event,#fanart,#guide"
P00111,Image,2023-03-29,1062,1135,1174,61796,1117.5,U00257,YouTube,#announcement
P00112,Video,2023-09-17,3335,1375,2484,70902,2491.7,U00115,Facebook,"#guide,#stream"
P00113,Text,2023-02-26,3949,402,1926,20005,2278.0,U00313,Twitter,"#event,#announcement,#guide"
P00114,Video,2023-12-16,2028,996,2412,36539,1833.6,U00977,Twitter,#guide
P00115,Text,2023-02-04,3558,1934,1822,53212,2550.0,U00406,Facebook,"#update,#cosplay,#event"
P00116,Text,2023-07-04,398,1948,317,97235,838.7,U00035,YouTube,"#event,#guide"
P00117,Video,2023-12-30,1774,69,1146,65941,1074.1,U00423,Instagram,"#announcement,#cosplay,#fanart"
P00118,Text,2023-03-28,3464,606,2944,98901,2450.6,U00388,Facebook,"#guide,#fanart,#stream"
P00119,Image,2024-01-24,4690,67,271,48044,1977.4,U00934,YouTube,"#cosplay,#update,#event"
P00120,Text,2024-05-11,427,626,139,44848,400.3,U00851,Instagram,"#event,#fanart"
P00121,Text,2023-11-26,1636,429,2963,11694,1672.0,U00359,YouTube,"#cosplay,#announcement,#guide"
P00122,Text,2023-06-27,2747,1297,2368,18320,2198.3,U00462,YouTube,#update
P00123,Image,2024-04-25,4975,514,801,25863,2384.5,U00885,Facebook,"#fanart,#event"
P00124,Image,2024-02-14,2899,248,322,7215,1330.6,U00321,Facebook,"#stream,#guide,#update"
P00125,Text,2023-06-27,4257,1324,695,65339,2308.5,U00457,YouTube,"#guide,#stream,#fanart"
P00126,Video,2023-02-18,3546,719,635,18256,1824.6,U00130,Twitter,"#stream,#fanart"
P00127,Image,2023-06-25,2744,236,680,59657,1372.4,U00521,Instagram,"#event,#stream,#guide"
P00128,Text,2024-01-11,1252,872,2133,76062,1402.3,U00554,Twitter,"#announcement,#event"
P00129,Video,2023-12-29,4360,730,2367,28998,2673.1,U00978,Instagram,#fanart
P00130,Text,2023-11-03,4863,1779,251,1500,2554.2,U00393,YouTube,"#event,#guide,#announcement"
P00131,Text,2023-07-30,120,252,568,1931,294.0,U00883,YouTube,#fanart
P00132,Image,2023-05-26,705,1227,56,79424,666.9,U00530,YouTube,#fanart
P00133,Video,2024-01-13,1744,875,2768,64149,1790.5,U00448,Instagram,#stream
P00134,Video,2023-06-24,146,1594,76,49044,559.4,U00627,Instagram,#guide
P00135,Image,2023-03-18,4311,300,2816,34883,2659.2,U00713,Twitter,#event
P00136,Video,2024-01-24,2927,1232,1523,48349,1997.3,U00868,YouTube,"#fanart,#event,#stream"
P00137,Image,2023-11-30,4024,1178,416,42277,2087.8,U00543,Facebook,"#announcement,#cosplay"
P00138,Video,2024-01-30,3620,57,1955,51043,2051.6,U00182,Instagram,"#event,#fanart,#update"
P00139,Image,2023-05-10,87,1318,2262,77609,1108.8,U00918,Facebook,"#cosplay,#event"
P00140,Text,2024-04-03,4976,524,1474,35008,2589.8,U00672,YouTube,"#guide,#update,#event"
P00141,Video,2024-05-05,2927,587,235,58370,1417.4,U00427,Facebook,"#cosplay,#stream"
P00142,Video,2023-04-04,4572,651,2663,66997,2823.0,U00771,Instagram,#stream
P00143,Text,2023-08-13,3845,245,14,74514,1615.7,U00088,Facebook,"#update,#guide"
P00144,Image,2023-08-03,1305,398,2064,48466,1260.6,U00365,Instagram,"#announcement,#stream,#guide"
P00145,Image,2024-03-11,2230,40,2707,2056,1716.1,U00814,Facebook,"#cosplay,#stream,#guide"
P00146,Video,2023-09-10,4714,1290,2463,30709,3011.5,U00788,Twitter,"#guide,#announcement"
P00147,Image,2023-01-06,704,1918,1322,45480,1253.6,U00298,Twitter,#fanart
P00148,Video,2023-04-24,2440,363,1857,51064,1642.0,U00197,Instagram,"#fanart,#announcement"
P00149,Text,2024-04-17,1214,298,1847,51196,1129.1,U00783,YouTube,"#event,#fanart"
P00150,Text,2023-06-14,4293,325,231,85030,1884.0,U00237,Twitter,"#event,#cosplay,#guide"
P00151,Text,2023-07-16,3003,1908,2365,72913,2483.1,U00866,YouTube,"#fanart,#update,#event"
P00152,Image,2023-08-14,1132,1841,1297,52589,1394.2,U00583,YouTube,"#cosplay,#update"
P00153,Image,2023-09-10,3865,479,523,45888,1846.6,U00705,Facebook,"#stream,#cosplay,#update"
P00154,Video,2023-11-11,3052,995,2758,7858,2346.7,U00431,Twitter,#announcement
P00155,Video,2023-08-01,755,386,408,19115,540.2,U00512,YouTube,#update
P00156,Video,2023-10-27,4659,1336,2512,35779,3018.0,U00382,Twitter,"#fanart,#announcement,#stream"
P00157,Image,2023-07-21,1303,1632,207,4689,1072.9,U00921,Instagram,#update
P00158,Image,2023-03-14,4410,72,2748,79746,2610.0,U00098,Facebook,"#stream,#announcement,#fanart"
P00159,Image,2023-01-31,1702,828,2798,30865,1768.6,U00225,YouTube,#guide
P00160,Image,2023-10-05,246,1656,2335,6899,1295.7,U00284,YouTube,#announcement
P00161,Video,2023-07-21,109,1602,1733,84643,1044.1,U00227,YouTube,"#stream,#event,#guide"
P00162,Video,2024-04-13,3722,522,817,22342,1890.5,U00252,YouTube,"#event,#fanart,#guide"
P00163,Text,2023-01-20,1191,227,801,60123,784.8,U00917,YouTube,"#announcement,#guide,#event"
P00164,Video,2023-09-27,1588,526,2676,98349,1595.8,U00467,Twitter,"#fanart,#announcement"
P00165,Text,2024-04-11,3078,1641,183,37004,1778.4,U00507,Twitter,"#cosplay,#update"
P00166,Video,2023-03-07,902,767,2623,50057,1377.8,U00246,Instagram,"#update,#fanart,#announcement"
P00167,Image,2023-11-05,4142,1392,2188,78422,2730.8,U00628,Twitter,"#update,#stream,#guide"
P00168,Image,2024-05-11,4509,502,1582,94525,2428.8,U00192,Instagram,"#stream,#guide"
P00169,Video,2023-06-29,3970,310,1995,93771,2279.5,U00880,Facebook,"#guide,#announcement,#update"
P00170,Video,2023-12-19,4967,936,1167,1160,2617.7,U00965,Instagram,"#guide,#update"
P00171,Video,2023-04-05,448,1889,2059,37489,1363.6,U00301,Facebook,#update
P00172,Image,2024-01-25,1600,1490,1350,49934,1492.0,U00292,Twitter,"#cosplay,#announcement,#guide"
P00173,Video,2023-05-10,1129,1140,361,62521,901.9,U00431,Instagram,"#guide,#fanart"
P00174,Text,2024-04-09,3068,1833,962,52283,2065.7,U00456,Twitter,"#update,#fanart,#cosplay"
P00175,Image,2024-04-13,1839,792,531,96495,1132.5,U00237,YouTube,"#event,#announcement"
P00176,Image,2023-08-13,4384,576,40,40469,1938.4,U00231,Facebook,"#stream,#cosplay"
P00177,Image,2023-10-22,201,658,1888,88945,844.2,U00315,YouTube,#cosplay
P00178,Video,2024-03-06,3486,1580,1686,32706,2374.2,U00900,YouTube,"#stream,#fanart,#announcement"
P00179,Text,2023-09-12,1341,276,2764,95458,1448.4,U00674,Twitter,"#fanart,#event,#cosplay"
P00180,Image,2023-09-25,4114,479,2524,88406,2546.5,U00837,Instagram,"#update,#stream,#event"
P00181,Video,2023-02-21,729,519,2015,70900,1051.8,U00985,Twitter,"#announcement,#guide"
P00182,Text,2023-03-13,1045,449,1153,81591,898.6,U00923,YouTube,"#fanart,#guide,#announcement"
P00183,Video,2024-04-30,3746,1198,2768,94235,2688.2,U00476,Twitter,"#cosplay,#stream"
P00184,Image,2023-03-26,3961,1576,1355,80607,2463.7,U00117,Twitter,#stream
P00185,Video,2023-06-11,4641,1248,1725,1385,2748.3,U00362,Twitter,"#stream,#announcement,#event"
P00186,Image,2023-12-23,630,749,1715,69541,991.2,U00928,YouTube,"#update,#event"
P00187,Image,2024-02-07,2874,1484,2199,16700,2254.5,U00484,Facebook,"#fanart,#guide,#update"
P00188,Image,2023-07-22,2356,1996,1420,7018,1967.2,U00502,Instagram,"#event,#stream"
P00189,Image,2023-10-16,3448,524,684,65077,1741.6,U00112,Twitter,"#guide,#event,#stream"
P00190,Video,2023-02-13,4949,1218,243,44514,2417.9,U00878,Facebook,"#stream,#update,#event"
P00191,Text,2023-07-24,1780,1156,887,27911,1324.9,U00633,Twitter,"#stream,#guide,#fanart"
P00192,Text,2023-11-09,894,607,70,86169,560.7,U00190,YouTube,"#fanart,#announcement,#cosplay"
P00193,Text,2024-04-13,3749,1777,1213,42660,2396.6,U00424,Facebook,#stream
P00194,Image,2023-05-27,1251,1172,1641,4772,1344.3,U00100,Instagram,#guide
P00195,Image,2023-10-12,702,1754,13,90116,810.9,U00881,Instagram,"#update,#cosplay,#stream"
P00196,Image,2023-09-26,1243,1942,1655,50763,1576.3,U00977,Facebook,"#stream,#announcement"
P00197,Text,2023-09-24,4404,254,265,70218,1917.3,U00517,Facebook,"#cosplay,#announcement"
P00198,Text,2023-04-26,3532,390,1008,36465,1832.2,U00177,Twitter,"#fanart,#update,#stream"
P00199,Video,2024-01-28,4556,372,2959,538,2821.7,U00641,Facebook,"#announcement,#stream"
P00200,Text,2023-01-12,2584,553,1139,81876,1541.2,U00476,YouTube,#announcement
P00201,Video,2023-02-18,2160,1511,1246,26398,1691.1,U00193,Twitter,"#stream,#event,#update"
P00202,Image,2023-08-27,1620,82,1763,937,1201.5,U00260,Instagram,"#cosplay,#update,#fanart"
P00203,Text,2024-04-02,2053,1450,446,97920,1390.0,U00075,Facebook,#guide
P00204,Image,2023-01-09,3717,131,1306,43426,1917.9,U00028,Twitter,"#cosplay,#stream"
P00205,Text,2023-09-12,4246,777,1971,28516,2522.8,U00795,Twitter,"#event,#guide"
P00206,Image,2023-11-22,2808,402,2314,8243,1938.0,U00320,YouTube,"#cosplay,#event,#announcement"
P00207,Text,2023-03-02,3872,1275,1291,64678,2318.6,U00972,Twitter,"#event,#stream"
P00208,Image,2023-11-04,2820,1437,354,12574,1665.3,U00573,Twitter,"#fanart,#event,#announcement"
P00209,Image,2023-09-16,2013,1268,1584,5097,1660.8,U00590,Instagram,"#event,#fanart,#stream"
P00210,Video,2023-09-05,194,1186,336,82977,534.2,U00465,Instagram,"#stream,#event,#cosplay"
P00211,Video,2023-04-14,4584,716,1434,98200,2478.6,U00914,Facebook,#guide
P00212,Text,2023-10-31,3841,256,2959,38017,2500.9,U00385,Instagram,"#fanart,#update,#stream"
P00213,Image,2023-05-29,3545,806,1212,39238,2023.4,U00859,Twitter,#cosplay
P00214,Video,2023-09-05,4213,503,2843,58100,2689.0,U00428,Facebook,"#fanart,#cosplay,#stream"
P00215,Video,2023-04-08,71,1964,1218,54130,983.0,U00389,YouTube,"#fanart,#event,#cosplay"
P00216,Image,2023-10-17,4420,1728,2798,2573,3125.8,U00209,Facebook,#update
P00217,Image,2023-10-24,3045,28,64,97671,1245.6,U00003,Facebook,"#event,#cosplay"
P00218,Text,2023-10-15,3686,276,2212,70170,2220.8,U00412,Instagram,"#update,#guide"
P00219,Text,2023-02-21,2327,111,1923,37533,1541.0,U00222,YouTube,#stream
P00220,Video,2023-03-19,4136,25,1373,7277,2073.8,U00560,Facebook,"#guide,#cosplay"
P00221,Image,2024-04-01,1807,1370,2821,48751,1980.1,U00818,Instagram,"#stream,#announcement"
P00222,Image,2023-05-21,4617,186,313,91221,1996.5,U00659,Facebook,#announcement
P00223,Image,2023-05-18,2883,672,2629,27555,2143.5,U00977,Twitter,"#event,#update,#announcement"
P00224,Video,2023-02-10,2786,1081,1885,14040,2004.2,U00283,Instagram,"#announcement,#fanart,#cosplay"
P00225,Video,2023-09-17,1833,629,2859,2734,1779.6,U00225,Twitter,"#update,#cosplay"
P00226,Image,2023-07-09,756,1137,2959,93015,1531.2,U00958,Twitter,#fanart
P00227,Text,2023-07-13,546,1517,2594,79951,1451.7,U00346,Facebook,#cosplay
P00228,Video,2024-03-20,2582,1199,1812,82727,1936.1,U00710,Twitter,#stream
P00229,Image,2023-07-08,4129,314,1978,17372,2339.2,U00510,Twitter,#fanart
P00230,Image,2024-02-13,133,83,1451,4729,513.4,U00824,Twitter,"#cosplay,#announcement"
P00231,Video,2023-05-01,2425,944,443,40136,1386.1,U00518,Instagram,"#guide,#announcement,#update"
P00232,Video,2024-03-27,439,1303,630,61685,755.5,U00863,YouTube,#guide
P00233,Video,2023-11-04,3170,908,767,99641,1770.5,U00339,YouTube,"#update,#stream,#fanart"
P00234,Text,2023-12-29,4291,1374,726,28262,2346.4,U00722,Instagram,"#event,#update"
P00235,Text,2023-10-20,1327,1875,941,96055,1375.6,U00996,Instagram,"#stream,#cosplay,#update"
P00236,Video,2024-03-07,1117,1349,1184,68694,1206.7,U00982,Instagram,#event
P00237,Image,2023-04-13,4389,1489,2946,65327,3086.1,U00242,Twitter,"#guide,#cosplay"
P00238,Image,2023-11-20,4736,1490,1353,26320,2747.3,U00506,Instagram,"#stream,#update,#fanart"
P00239,Video,2023-02-17,4203,291,424,2622,1895.7,U00418,Instagram,"#cosplay,#event,#stream"
P00240,Text,2024-04-01,3905,1189,310,59385,2011.7,U00863,Twitter,"#event,#fanart,#cosplay"
P00241,Video,2023-06-17,1540,1874,1751,82021,1703.5,U00419,Instagram,"#fanart,#guide"
P00242,Video,2024-04-20,1559,846,2131,84397,1516.7,U00861,Instagram,"#update,#announcement"
P00243,Image,2024-04-30,579,122,1603,59898,749.1,U00669,Twitter,"#announcement,#event,#stream"
P00244,Image,2023-10-23,620,582,690,67992,629.6,U00198,Twitter,"#cosplay,#fanart,#event"
P00245,Text,2023-05-06,886,566,2268,18925,1204.6,U00762,Facebook,#cosplay
P00246,Image,2024-03-27,4784,858,2356,98198,2877.8,U00543,Twitter,"#cosplay,#stream"
P00247,Image,2024-04-21,2028,503,202,25907,1022.7,U00542,Facebook,#fanart
P00248,Video,2024-03-05,399,1147,830,9326,752.7,U00299,Instagram,#cosplay
P00249,Text,2023-12-31,4837,1635,256,45893,2502.1,U00563,Instagram,"#event,#announcement,#guide"
P00250,Image,2023-10-11,1974,1773,1985,95688,1917.0,U00515,Facebook,#stream
P00251,Video,2023-07-05,289,1395,1346,52872,937.9,U00974,YouTube,#event
P00252,Image,2023-03-25,4232,1318,2243,69597,2761.1,U00325,Twitter,"#stream,#announcement"
P00253,Image,2023-04-03,3484,852,1965,96363,2238.7,U00513,Instagram,"#guide,#fanart"
P00254,Text,2024-03-02,2333,1663,2163,64900,2081.0,U00926,Facebook,"#fanart,#stream"
P00255,Text,2023-01-31,1117,1963,2998,44768,1935.1,U00060,Twitter,#fanart
P00256,Video,2023-12-20,2528,143,1042,4611,1366.7,U00444,Instagram,#update
P00257,Image,2024-01-17,888,1266,2891,84418,1602.3,U00866,YouTube,#event
P00258,Video,2024-01-03,2806,639,2763,13580,2143.0,U00079,Facebook,"#event,#guide"
P00259,Image,2023-10-26,2640,609,41,32715,1251.0,U00247,Instagram,"#stream,#update"
P00260,Video,2023-08-20,4526,1052,1858,87735,2683.4,U00970,Instagram,"#guide,#event,#announcement"
P00261,Video,2023-02-20,648,879,2700,59526,1332.9,U00703,Twitter,#update
P00262,Video,2023-05-01,1894,709,2756,57544,1797.1,U00408,YouTube,#event
P00263,Video,2023-12-04,495,1259,1346,97747,979.5,U00605,YouTube,"#announcement,#cosplay"
P00264,Video,2024-04-13,1656,1057,2384,35680,1694.7,U00428,Twitter,"#announcement,#event"
P00265,Image,2023-05-24,3904,240,620,10977,1819.6,U00550,Instagram,"#fanart,#stream"
P00266,Text,2023-12-18,4678,699,765,43144,2310.4,U00577,Twitter,"#event,#cosplay"
P00267,Video,2023-03-31,4760,325,558,85232,2168.9,U00663,YouTube,"#stream,#fanart"
P00268,Video,2024-05-12,4192,119,2025,37422,2320.0,U00317,Facebook,"#announcement,#update,#cosplay"
P00269,Video,2023-02-19,4035,289,813,83670,1944.6,U00525,YouTube,"#fanart,#announcement"
P00270,Image,2023-08-02,1457,514,996,86443,1035.8,U00586,Facebook,#stream
P00271,Text,2023-09-15,4234,348,1968,27688,2388.4,U00655,Instagram,"#cosplay,#update"
P00272,Text,2024-03-30,3880,47,1904,36468,2137.3,U00297,Twitter,"#cosplay,#announcement,#update"
P00273,Image,2023-02-05,1515,1719,1574,32260,1593.9,U00790,Facebook,"#cosplay,#announcement"
P00274,Text,2023-03-06,605,1057,689,18518,765.8,U00836,Instagram,#announcement
P00275,Video,2023-05-28,1134,1760,2762,69228,1810.2,U00425,Facebook,#cosplay
P00276,Video,2023-04-24,3528,321,2908,46191,2379.9,U00062,YouTube,#guide
P00277,Video,2023-11-18,588,1204,2007,60119,1198.5,U00094,YouTube,"#fanart,#stream,#update"
P00278,Video,2023-02-02,2808,1225,1256,3985,1867.5,U00714,Facebook,"#announcement,#fanart"
P00279,Text,2023-12-25,3714,1180,1993,77142,2437.5,U00279,Twitter,#update
P00280,Video,2023-12-08,1527,1163,855,33397,1216.2,U00663,Facebook,"#stream,#event"
P00281,Image,2023-10-17,2554,1837,1198,99966,1932.1,U00814,Facebook,#guide
P00282,Text,2023-03-14,2554,1917,2555,99506,2363.2,U00666,Instagram,"#update,#announcement,#event"
